#OTU ID	sample_name	abundance
2826	172.95607330771054	1.3093632
92651	172.95614469983013	14.610849
92606	172.95613766076792	13.800615
92556	172.95617170764976	13.126836
92582	172.9561707834455	13.394959
11	172.95627006893116	0.48660058
1606	172.97685499400671	0.82498133
26	173.03011454111743	0.53634936
1599	173.0421301158312	0.8161817
229	173.0421526637195	0.6029628
2089	173.0781346698141	0.9759191
92320	173.07822445046492	13.04247
3101	173.0783029154549	1.4874834
759	173.07845969517558	0.6420143
28103	173.08071971112128	4.5131154
68067	173.09594401865292	8.8788395
42269	173.11715740308347	5.7292943
9218	174.05477615705536	2.7583623
1985	174.05485939904037	0.9451942
89947	174.08981020634675	12.221234
89283	174.08981994718928	11.922092
87786	174.08983420553676	11.562557
90900	174.08985877063122	12.582928
87099	174.08986482875642	11.273082
91818	174.08989256812745	12.885594
8473	174.11232757401348	2.6652544
26974	174.11238967471624	4.4238853
22777	174.1485801721065	4.073972
48066	174.18504141518383	6.2957845
39154	174.1851066365076	5.4689436
1336	174.8706088469905	0.7093291
92454	174.9532053024513	13.098064
43699	174.98649975500484	5.853553
90075	175.09756822619596	12.311091
89406	175.09758849624086	11.951784
88693	175.09760086294017	11.732848
86855	175.0975908497432	11.204604
91281	175.09764485668944	12.6696615
79955	175.11155520147832	10.299442
70747	175.14794446026033	9.283299
89942	176.10543163220274	12.197839
89044	176.1054456600727	11.838374
87967	176.1054596264568	11.532566
90836	176.10547865813038	12.564175
87305	176.10549086375815	11.236868
91865	176.10551791545714	12.889584
222	176.12819481149913	0.6009719
1313	176.8676928312231	0.70896274
43716	176.98443635678265	5.855311
69402	177.05440310845657	9.098173
67715	177.05442896930768	8.821035
15431	177.065740098988	3.4102077
53930	177.08787658307378	6.965621
17951	177.10202812918234	3.6449218
1754	177.1022007672337	0.8661143
35561	177.11192618165424	5.161251
89922	177.1131048749711	12.148703
50305	177.12719360625687	6.550773
60436	177.12722085950813	7.787971
260	178.0144792699552	0.6160166
49856	178.09916580257257	6.4977307
213	178.10743759966235	0.59421146
1627	178.10744639959145	0.8294556
87979	178.10852362007512	11.608923
9009	178.12241777791567	2.729213
11821	178.12243413986906	3.0412521
3293	178.12244109656564	1.5780991
51955	178.12245099861343	6.741413
2652	178.12245891297783	1.1957628
1704	178.12263280413535	0.8667017
